Mon Jun 10 12:07:23 2013 Error: invalid usage [returned  -1]
Wed Jun 12 14:41:10 2013 Error: can't perform select -1]
Wed Jun 12 14:41:12 2013 Error: can't perform select -1]
Wed Jun 12 14:41:12 2013 Error: can't perform select -1]
Wed Jun 12 14:41:13 2013 Error: can't perform select -1]
Wed Jun 12 14:41:13 2013 Error: can't perform select -1]
Wed Jun 12 14:41:13 2013 Error: can't perform select -1]
Wed Jun 12 14:41:13 2013 Error: can't perform select -1]
Wed Jun 12 14:41:14 2013 Error: can't perform select -1]
Wed Jun 12 14:41:14 2013 Error: can't perform select -1]
Wed Jun 12 14:41:14 2013 Error: can't perform select -1]
Wed Jun 12 14:41:14 2013 Error: can't perform select -1]
Wed Jun 12 14:41:14 2013 Error: can't perform select -1]
Wed Jun 12 14:41:14 2013 Error: can't perform select -1]
Wed Jun 12 14:41:14 2013 Error: can't perform select -1]
Wed Jun 12 14:42:27 2013 Error: can't perform select -1]
Wed Jun 12 14:42:30 2013 Error: can't perform select -1]
Wed Jun 12 14:42:30 2013 Error: can't perform select -1]
Wed Jun 12 14:42:30 2013 Error: can't perform select -1]
Wed Jun 12 14:42:30 2013 Error: can't perform select -1]
Wed Jun 12 14:42:31 2013 Error: can't perform select -1]
Wed Jun 12 14:42:32 2013 Error: can't perform select -1]
Wed Jun 12 14:42:49 2013 Error: can't perform select -1]
Wed Jun 12 14:42:50 2013 Error: can't perform select -1]
Wed Jun 12 14:42:50 2013 Error: can't perform select -1]
Wed Jun 12 14:42:50 2013 Error: can't perform select -1]
Wed Jun 12 14:42:50 2013 Error: can't perform select -1]
Wed Jun 12 14:42:50 2013 Error: can't perform select -1]
Wed Jun 12 14:42:51 2013 Error: can't perform select -1]
Wed Jun 12 14:42:51 2013 Error: can't perform select -1]
Wed Jun 12 14:42:51 2013 Error: can't perform select -1]
Wed Jun 12 14:42:51 2013 Error: can't perform select -1]
Wed Jun 12 14:42:51 2013 Error: can't perform select -1]
Wed Jun 12 14:46:36 2013 Error: can't perform select -1]
Wed Jun 12 14:46:41 2013 Error: can't perform select -1]
Wed Jun 12 14:46:42 2013 Error: can't perform select -1]
Wed Jun 12 14:46:43 2013 Error: can't perform select -1]
Wed Jun 12 14:46:44 2013 Error: can't perform select -1]
Wed Jun 12 14:46:45 2013 Error: can't perform select -1]
Wed Jun 12 14:48:58 2013 Error: can't perform select -1]
Wed Jun 12 14:49:10 2013 Error: can't perform select -1]
Wed Jun 12 14:49:13 2013 Error: can't perform select -1]
Wed Jun 12 14:52:46 2013 Error: can't perform select -1]
